Bust/Chest,Height,Weight,Waist,Hips,Body Shape Index
33.0,61.0,46.0,39.0,44.0,3.0
38.0,61.0,66.0,33.0,41.0,0.0
37.0,72.0,86.0,33.0,43.0,3.0
46.0,66.0,63.0,47.0,47.0,3.0
45.0,62.0,71.0,44.0,50.0,1.0
31.0,58.0,54.0,34.0,43.0,4.0
46.0,71.0,74.0,34.0,39.0,2.0
48.0,72.0,93.0,30.0,30.0,1.0
49.0,66.0,82.0,34.0,34.0,4.0
47.0,60.0,65.0,35.0,39.0,2.0
49.0,74.0,96.0,41.0,49.0,4.0
35.0,61.0,60.0,40.0,42.0,4.0
46.0,63.0,48.0,41.0,48.0,4.0
50.0,78.0,79.0,26.0,26.0,0.0
50.0,72.0,98.0,34.0,38.0,2.0
32.0,72.0,79.0,30.0,31.0,2.0
37.0,66.0,55.0,44.0,48.0,4.0
32.0,69.0,72.0,34.0,35.0,2.0
47.0,60.0,62.0,38.0,40.0,2.0
34.0,71.0,96.0,31.0,33.0,4.0
43.0,67.0,60.0,42.0,43.0,2.0
50.0,75.0,67.0,41.0,50.0,2.0
35.0,65.0,58.0,38.0,43.0,4.0
39.0,62.0,73.0,48.0,50.0,1.0
50.0,78.0,82.0,31.0,34.0,4.0
42.0,77.0,101.0,41.0,48.0,1.0
41.0,58.0,58.0,28.0,29.0,4.0
33.0,61.0,67.0,31.0,32.0,3.0
35.0,66.0,55.0,27.0,31.0,0.0
43.0,75.0,89.0,36.0,39.0,3.0
42.0,68.0,55.0,27.0,27.0,1.0
41.0,70.0,87.0,44.0,44.0,2.0
46.0,66.0,55.0,41.0,46.0,4.0
45.0,58.0,57.0,34.0,37.0,2.0
41.0,75.0,68.0,32.0,39.0,3.0
30.0,65.0,66.0,30.0,39.0,1.0
42.0,70.0,60.0,35.0,44.0,4.0
39.0,74.0,85.0,47.0,49.0,3.0
32.0,65.0,60.0,27.0,34.0,3.0
42.0,66.0,56.0,29.0,32.0,2.0
40.0,69.0,86.0,36.0,44.0,4.0
40.0,61.0,60.0,40.0,46.0,2.0
37.0,74.0,96.0,48.0,48.0,0.0
49.0,62.0,71.0,31.0,33.0,2.0
32.0,69.0,69.0,28.0,30.0,2.0
31.0,62.0,68.0,32.0,41.0,4.0
42.0,67.0,86.0,35.0,39.0,0.0
31.0,64.0,57.0,28.0,32.0,4.0
35.0,77.0,76.0,28.0,38.0,0.0
48.0,59.0,54.0,28.0,32.0,4.0
52.0,61.0,70.0,30.0,39.0,1.0
51.0,72.0,79.0,35.0,42.0,2.0
42.0,58.0,48.0,28.0,33.0,2.0
46.0,69.0,86.0,44.0,46.0,0.0
42.0,59.0,62.0,29.0,29.0,3.0
44.0,69.0,57.0,38.0,40.0,3.0
48.0,62.0,70.0,27.0,34.0,0.0
45.0,63.0,66.0,47.0,47.0,0.0
46.0,63.0,77.0,41.0,41.0,2.0
30.0,72.0,63.0,44.0,48.0,3.0
38.0,58.0,46.0,41.0,41.0,0.0
32.0,72.0,83.0,28.0,35.0,2.0
33.0,64.0,64.0,32.0,38.0,2.0
33.0,74.0,84.0,26.0,29.0,4.0
30.0,59.0,48.0,42.0,47.0,3.0
50.0,62.0,62.0,26.0,35.0,0.0
31.0,62.0,69.0,28.0,30.0,4.0
37.0,69.0,66.0,40.0,43.0,1.0
35.0,68.0,68.0,43.0,46.0,0.0
45.0,61.0,65.0,43.0,49.0,4.0
40.0,65.0,79.0,40.0,44.0,4.0
42.0,65.0,64.0,37.0,45.0,3.0
46.0,77.0,75.0,36.0,45.0,4.0
34.0,72.0,65.0,33.0,39.0,4.0
30.0,63.0,72.0,35.0,43.0,0.0
47.0,67.0,71.0,28.0,29.0,1.0
30.0,74.0,104.0,46.0,47.0,4.0
52.0,65.0,79.0,36.0,44.0,2.0
39.0,72.0,95.0,26.0,36.0,1.0
37.0,69.0,82.0,27.0,35.0,0.0
34.0,59.0,59.0,45.0,45.0,3.0
36.0,59.0,51.0,40.0,50.0,4.0
37.0,73.0,90.0,44.0,44.0,3.0
41.0,63.0,47.0,39.0,44.0,4.0
50.0,73.0,99.0,42.0,42.0,3.0
43.0,74.0,73.0,37.0,44.0,2.0
50.0,72.0,92.0,47.0,48.0,3.0
40.0,71.0,93.0,39.0,49.0,2.0
51.0,76.0,74.0,38.0,44.0,2.0
44.0,60.0,48.0,36.0,44.0,4.0
48.0,78.0,116.0,41.0,48.0,4.0
52.0,74.0,82.0,30.0,30.0,4.0
50.0,74.0,83.0,46.0,46.0,4.0
34.0,63.0,74.0,42.0,42.0,3.0
38.0,63.0,50.0,37.0,40.0,2.0
51.0,67.0,73.0,46.0,50.0,0.0
37.0,70.0,85.0,37.0,44.0,4.0
41.0,78.0,111.0,46.0,48.0,4.0
32.0,74.0,91.0,38.0,42.0,1.0
46.0,73.0,103.0,32.0,42.0,1.0
31.0,59.0,67.0,37.0,40.0,2.0
34.0,63.0,63.0,43.0,50.0,2.0
38.0,71.0,97.0,45.0,45.0,3.0
42.0,64.0,61.0,35.0,40.0,0.0
50.0,78.0,117.0,29.0,30.0,1.0
52.0,71.0,78.0,46.0,46.0,3.0
33.0,71.0,87.0,27.0,32.0,1.0
46.0,66.0,78.0,29.0,39.0,0.0
47.0,73.0,65.0,42.0,45.0,3.0
49.0,63.0,57.0,27.0,32.0,1.0
34.0,61.0,56.0,39.0,39.0,2.0
46.0,64.0,79.0,48.0,49.0,2.0
34.0,71.0,82.0,44.0,45.0,0.0
44.0,64.0,73.0,27.0,29.0,0.0
31.0,59.0,53.0,40.0,44.0,0.0
40.0,77.0,105.0,32.0,42.0,3.0
32.0,69.0,62.0,41.0,50.0,4.0
41.0,64.0,73.0,37.0,37.0,2.0
46.0,67.0,61.0,26.0,27.0,1.0
48.0,60.0,54.0,27.0,27.0,4.0
47.0,69.0,72.0,32.0,41.0,3.0
40.0,71.0,71.0,30.0,39.0,1.0
37.0,64.0,71.0,36.0,46.0,0.0
38.0,76.0,112.0,26.0,28.0,1.0
41.0,78.0,114.0,40.0,45.0,4.0
33.0,59.0,59.0,28.0,36.0,0.0
45.0,72.0,71.0,39.0,39.0,2.0
41.0,60.0,56.0,26.0,26.0,2.0
35.0,78.0,101.0,29.0,34.0,4.0
36.0,63.0,64.0,32.0,34.0,1.0
30.0,68.0,76.0,44.0,49.0,4.0
32.0,64.0,75.0,41.0,49.0,3.0
43.0,77.0,95.0,36.0,41.0,1.0
32.0,78.0,84.0,34.0,42.0,0.0
34.0,75.0,89.0,28.0,37.0,1.0
33.0,70.0,78.0,40.0,42.0,4.0
33.0,59.0,62.0,26.0,33.0,4.0
42.0,61.0,68.0,36.0,46.0,3.0
30.0,60.0,50.0,37.0,42.0,3.0
42.0,67.0,74.0,48.0,49.0,2.0
46.0,73.0,71.0,34.0,34.0,4.0
41.0,69.0,58.0,36.0,42.0,1.0
49.0,73.0,93.0,41.0,42.0,3.0
37.0,64.0,52.0,30.0,31.0,4.0
46.0,69.0,89.0,33.0,42.0,4.0
39.0,59.0,52.0,26.0,29.0,4.0
33.0,63.0,60.0,38.0,47.0,0.0
41.0,60.0,67.0,38.0,46.0,0.0
50.0,69.0,67.0,39.0,46.0,4.0
38.0,73.0,74.0,34.0,38.0,2.0
48.0,78.0,99.0,32.0,36.0,1.0
36.0,68.0,55.0,40.0,45.0,4.0
51.0,72.0,66.0,46.0,46.0,1.0
31.0,60.0,46.0,34.0,44.0,1.0
43.0,60.0,65.0,33.0,34.0,0.0
52.0,75.0,77.0,44.0,45.0,1.0
32.0,64.0,61.0,27.0,35.0,1.0
46.0,65.0,74.0,48.0,48.0,3.0
49.0,71.0,79.0,33.0,37.0,4.0
30.0,60.0,53.0,37.0,45.0,4.0
43.0,64.0,64.0,42.0,43.0,1.0
35.0,59.0,47.0,33.0,42.0,2.0
39.0,72.0,70.0,40.0,45.0,3.0
50.0,68.0,63.0,43.0,48.0,3.0
39.0,78.0,79.0,34.0,37.0,0.0
30.0,63.0,72.0,28.0,35.0,1.0
45.0,76.0,97.0,41.0,47.0,4.0
31.0,63.0,53.0,35.0,43.0,1.0
41.0,72.0,97.0,38.0,47.0,0.0
44.0,70.0,70.0,40.0,40.0,0.0
31.0,72.0,68.0,36.0,43.0,0.0
34.0,59.0,44.0,38.0,47.0,4.0
37.0,77.0,115.0,41.0,46.0,3.0
45.0,59.0,62.0,43.0,50.0,3.0
51.0,66.0,69.0,48.0,49.0,1.0
30.0,76.0,82.0,28.0,29.0,2.0
38.0,78.0,99.0,47.0,49.0,3.0
32.0,72.0,89.0,32.0,36.0,4.0
38.0,75.0,106.0,48.0,49.0,1.0
30.0,74.0,100.0,27.0,27.0,4.0
49.0,73.0,68.0,27.0,30.0,0.0
36.0,69.0,88.0,26.0,26.0,1.0
33.0,69.0,58.0,41.0,47.0,4.0
43.0,65.0,53.0,35.0,40.0,1.0
44.0,75.0,81.0,43.0,50.0,3.0
46.0,59.0,59.0,39.0,42.0,3.0
33.0,60.0,62.0,29.0,35.0,2.0
39.0,61.0,71.0,42.0,46.0,1.0
37.0,70.0,81.0,30.0,34.0,1.0
47.0,78.0,98.0,33.0,34.0,0.0
30.0,76.0,71.0,32.0,37.0,0.0
34.0,78.0,99.0,26.0,28.0,4.0
40.0,67.0,81.0,32.0,33.0,3.0
42.0,60.0,51.0,42.0,50.0,4.0
38.0,74.0,101.0,34.0,38.0,0.0
43.0,60.0,60.0,46.0,47.0,1.0
47.0,70.0,75.0,43.0,47.0,0.0
40.0,69.0,60.0,38.0,44.0,1.0
36.0,60.0,53.0,43.0,43.0,0.0
41.0,73.0,76.0,45.0,45.0,2.0
48.0,73.0,102.0,33.0,40.0,4.0
30.0,70.0,95.0,44.0,49.0,4.0
46.0,62.0,59.0,35.0,36.0,1.0
38.0,65.0,79.0,29.0,32.0,2.0
43.0,67.0,73.0,39.0,45.0,4.0
37.0,59.0,50.0,33.0,43.0,1.0
41.0,60.0,60.0,39.0,42.0,2.0
37.0,71.0,79.0,30.0,33.0,1.0
34.0,68.0,73.0,38.0,47.0,3.0
40.0,74.0,103.0,43.0,48.0,0.0
50.0,61.0,69.0,28.0,37.0,4.0
38.0,75.0,70.0,29.0,38.0,4.0
38.0,77.0,79.0,34.0,37.0,3.0
46.0,69.0,62.0,36.0,44.0,4.0
30.0,77.0,99.0,35.0,45.0,2.0
36.0,69.0,60.0,45.0,45.0,3.0
49.0,64.0,65.0,37.0,38.0,2.0
37.0,58.0,52.0,28.0,37.0,4.0
36.0,64.0,61.0,43.0,47.0,4.0
30.0,71.0,83.0,33.0,39.0,3.0
37.0,74.0,100.0,34.0,44.0,4.0
46.0,78.0,106.0,31.0,37.0,1.0
52.0,71.0,93.0,46.0,47.0,2.0
43.0,59.0,42.0,26.0,31.0,0.0
46.0,60.0,67.0,43.0,43.0,1.0
42.0,72.0,74.0,34.0,37.0,4.0
46.0,64.0,74.0,45.0,48.0,1.0
42.0,62.0,57.0,30.0,30.0,0.0
31.0,66.0,76.0,44.0,48.0,1.0
39.0,65.0,80.0,30.0,31.0,0.0
50.0,69.0,85.0,28.0,35.0,0.0
39.0,59.0,57.0,31.0,32.0,3.0
35.0,76.0,81.0,33.0,38.0,1.0
43.0,64.0,70.0,41.0,44.0,3.0
46.0,65.0,72.0,33.0,42.0,0.0
41.0,58.0,58.0,45.0,46.0,1.0
36.0,60.0,51.0,39.0,45.0,0.0
33.0,64.0,50.0,30.0,39.0,1.0
35.0,71.0,80.0,27.0,32.0,1.0
39.0,64.0,54.0,35.0,42.0,3.0
51.0,69.0,90.0,45.0,45.0,4.0
47.0,78.0,102.0,31.0,31.0,0.0
33.0,58.0,54.0,26.0,33.0,3.0
39.0,68.0,72.0,27.0,37.0,4.0
32.0,60.0,68.0,48.0,50.0,2.0
35.0,77.0,113.0,46.0,48.0,2.0
33.0,67.0,56.0,31.0,34.0,2.0
35.0,70.0,59.0,40.0,40.0,0.0
50.0,62.0,67.0,35.0,43.0,0.0
44.0,70.0,59.0,38.0,46.0,0.0
35.0,73.0,84.0,31.0,34.0,2.0
39.0,68.0,78.0,42.0,43.0,4.0
49.0,67.0,80.0,37.0,38.0,0.0
50.0,67.0,64.0,44.0,45.0,3.0
50.0,77.0,98.0,34.0,39.0,4.0
30.0,76.0,97.0,28.0,33.0,2.0
49.0,71.0,64.0,40.0,47.0,4.0
31.0,67.0,68.0,45.0,49.0,1.0
45.0,59.0,50.0,40.0,47.0,3.0
30.0,68.0,87.0,40.0,47.0,3.0
46.0,63.0,75.0,32.0,39.0,3.0
35.0,73.0,89.0,40.0,43.0,3.0
33.0,70.0,88.0,43.0,49.0,2.0
36.0,59.0,59.0,39.0,43.0,3.0
32.0,61.0,57.0,29.0,35.0,4.0
33.0,69.0,58.0,32.0,33.0,0.0
30.0,76.0,93.0,30.0,40.0,1.0
32.0,58.0,58.0,45.0,45.0,1.0
36.0,61.0,50.0,34.0,34.0,0.0
49.0,76.0,93.0,28.0,28.0,1.0
32.0,73.0,79.0,32.0,32.0,1.0
31.0,75.0,71.0,43.0,43.0,1.0
52.0,77.0,88.0,26.0,35.0,1.0
32.0,58.0,46.0,28.0,38.0,1.0
38.0,59.0,45.0,31.0,40.0,3.0
46.0,73.0,65.0,41.0,41.0,4.0
33.0,65.0,63.0,30.0,37.0,1.0
38.0,61.0,44.0,32.0,35.0,1.0
33.0,58.0,57.0,41.0,47.0,3.0
44.0,62.0,55.0,43.0,50.0,3.0
39.0,76.0,69.0,32.0,40.0,2.0
30.0,63.0,55.0,39.0,45.0,4.0
32.0,58.0,53.0,39.0,42.0,4.0
49.0,78.0,88.0,41.0,48.0,0.0
42.0,66.0,84.0,35.0,39.0,2.0
40.0,78.0,77.0,41.0,50.0,1.0
35.0,60.0,66.0,35.0,35.0,4.0
31.0,59.0,58.0,34.0,36.0,1.0
32.0,77.0,79.0,34.0,36.0,3.0
46.0,67.0,80.0,47.0,50.0,1.0
41.0,77.0,80.0,46.0,49.0,2.0
51.0,70.0,78.0,29.0,35.0,4.0
35.0,58.0,59.0,37.0,47.0,0.0
33.0,66.0,57.0,29.0,30.0,3.0
46.0,58.0,52.0,26.0,26.0,3.0
47.0,64.0,63.0,37.0,46.0,0.0
50.0,67.0,86.0,48.0,50.0,0.0
42.0,59.0,49.0,41.0,50.0,2.0
31.0,64.0,76.0,48.0,50.0,1.0
32.0,61.0,51.0,31.0,39.0,0.0
51.0,78.0,102.0,41.0,47.0,2.0
44.0,66.0,79.0,33.0,38.0,3.0
41.0,69.0,57.0,29.0,30.0,2.0
52.0,69.0,87.0,40.0,45.0,0.0
30.0,63.0,51.0,29.0,34.0,3.0
37.0,78.0,100.0,38.0,38.0,4.0
31.0,69.0,84.0,43.0,48.0,1.0
44.0,70.0,83.0,40.0,41.0,0.0
45.0,78.0,93.0,28.0,32.0,4.0
45.0,75.0,71.0,33.0,35.0,4.0
43.0,73.0,67.0,30.0,37.0,1.0
32.0,59.0,50.0,29.0,37.0,4.0
36.0,74.0,101.0,42.0,42.0,3.0
40.0,72.0,84.0,39.0,41.0,1.0
45.0,70.0,84.0,35.0,45.0,0.0
41.0,67.0,58.0,43.0,47.0,2.0
30.0,65.0,61.0,45.0,48.0,0.0
47.0,59.0,64.0,36.0,42.0,3.0
44.0,77.0,102.0,32.0,34.0,0.0
31.0,61.0,45.0,41.0,48.0,1.0
38.0,66.0,83.0,32.0,35.0,4.0
48.0,74.0,105.0,35.0,40.0,4.0
45.0,61.0,69.0,37.0,43.0,3.0
42.0,58.0,53.0,41.0,46.0,3.0
44.0,72.0,71.0,37.0,42.0,1.0
33.0,64.0,55.0,30.0,30.0,4.0
34.0,65.0,67.0,37.0,46.0,3.0
35.0,60.0,54.0,35.0,42.0,3.0
39.0,58.0,54.0,31.0,41.0,2.0
48.0,68.0,76.0,39.0,43.0,2.0
33.0,78.0,94.0,34.0,39.0,3.0
34.0,70.0,61.0,42.0,50.0,4.0
51.0,67.0,70.0,37.0,37.0,4.0
35.0,66.0,60.0,28.0,29.0,4.0
30.0,66.0,58.0,38.0,45.0,1.0
40.0,73.0,96.0,35.0,38.0,1.0
46.0,78.0,83.0,48.0,49.0,3.0
37.0,59.0,47.0,26.0,26.0,4.0
44.0,66.0,74.0,39.0,48.0,3.0
41.0,65.0,69.0,33.0,34.0,1.0
38.0,76.0,108.0,34.0,37.0,4.0
41.0,74.0,95.0,40.0,47.0,0.0
32.0,71.0,75.0,47.0,49.0,2.0
42.0,77.0,83.0,35.0,43.0,2.0
31.0,63.0,65.0,42.0,42.0,4.0
42.0,69.0,75.0,34.0,42.0,3.0
47.0,58.0,52.0,42.0,43.0,1.0
35.0,59.0,43.0,33.0,42.0,1.0
46.0,71.0,87.0,32.0,42.0,1.0
50.0,65.0,81.0,37.0,45.0,2.0
31.0,70.0,90.0,40.0,45.0,4.0
32.0,76.0,76.0,45.0,49.0,2.0
31.0,60.0,51.0,37.0,39.0,0.0
40.0,77.0,77.0,47.0,49.0,3.0
40.0,62.0,67.0,27.0,27.0,0.0
30.0,58.0,42.0,40.0,49.0,4.0
32.0,61.0,60.0,45.0,49.0,3.0
50.0,61.0,65.0,40.0,41.0,0.0
33.0,78.0,79.0,41.0,49.0,4.0
39.0,61.0,44.0,29.0,35.0,2.0
36.0,68.0,70.0,36.0,38.0,4.0
33.0,72.0,83.0,35.0,36.0,0.0
51.0,64.0,79.0,34.0,42.0,3.0
42.0,61.0,70.0,40.0,44.0,4.0
37.0,65.0,67.0,44.0,44.0,0.0
37.0,67.0,62.0,28.0,37.0,2.0
30.0,77.0,77.0,39.0,40.0,2.0
41.0,65.0,68.0,43.0,49.0,0.0
51.0,61.0,69.0,36.0,39.0,4.0
50.0,62.0,70.0,41.0,41.0,4.0
33.0,72.0,95.0,42.0,48.0,3.0
41.0,60.0,46.0,28.0,38.0,3.0
36.0,65.0,63.0,45.0,48.0,2.0
44.0,74.0,75.0,38.0,45.0,4.0
42.0,69.0,65.0,26.0,26.0,4.0
34.0,68.0,89.0,42.0,42.0,2.0
44.0,62.0,50.0,38.0,44.0,4.0
51.0,75.0,76.0,31.0,38.0,3.0
52.0,77.0,81.0,30.0,37.0,0.0
47.0,58.0,53.0,42.0,49.0,2.0
39.0,74.0,99.0,34.0,42.0,0.0
44.0,73.0,90.0,33.0,37.0,0.0
33.0,69.0,76.0,32.0,40.0,1.0
36.0,58.0,60.0,46.0,50.0,4.0
49.0,59.0,63.0,45.0,50.0,2.0
45.0,60.0,65.0,35.0,35.0,1.0
33.0,78.0,107.0,45.0,46.0,4.0
40.0,59.0,62.0,42.0,50.0,2.0
31.0,61.0,61.0,29.0,31.0,2.0
36.0,74.0,104.0,34.0,44.0,1.0
38.0,64.0,63.0,41.0,50.0,3.0
44.0,70.0,76.0,28.0,34.0,2.0
39.0,68.0,58.0,37.0,37.0,3.0
46.0,64.0,63.0,28.0,31.0,3.0
45.0,78.0,83.0,35.0,43.0,0.0
47.0,76.0,73.0,31.0,38.0,2.0
32.0,77.0,89.0,35.0,39.0,3.0
29.450716018676758,61.745216369628906,36.05715560913086,26.933738708496094,31.663066864013672,3.0
30.786865234375,62.5335807800293,40.61186981201172,28.03591537475586,33.02229690551758,3.0
29.62052345275879,61.93046188354492,37.063114166259766,27.237754821777344,32.19770431518555,3.0
29.517108917236328,61.69330596923828,35.993072509765625,26.856752395629883,32.25371551513672,3.0
29.353309631347656,61.93439483642578,38.160194396972656,26.72683334350586,32.2142448425293,3.0
30.64728355407715,62.07709884643555,39.80575180053711,27.952678680419922,33.052406311035156,3.0
28.539691925048828,61.11539840698242,33.372257232666016,26.07697868347168,30.897607803344727,3.0
29.649904251098633,61.81654739379883,36.51503372192383,27.100780487060547,31.84246063232422,3.0
30.113853454589844,62.0040168762207,38.314697265625,27.5378475189209,32.29019546508789,3.0
30.643756866455078,62.579097747802734,40.05832290649414,28.02880096435547,33.0588264465332,3.0
30.881755828857422,62.86131286621094,41.70273208618164,28.10478401184082,32.9261360168457,3.0
29.008636474609375,61.043556213378906,32.01245880126953,26.66144561767578,30.93074607849121,3.0
30.456830978393555,62.19008255004883,38.15834045410156,27.88665771484375,32.962974548339844,3.0
29.33707046508789,61.55406951904297,34.842742919921875,26.85036849975586,31.67170524597168,3.0
30.082300186157227,62.16781997680664,37.64333724975586,27.432653427124023,32.044647216796875,3.0
30.77074432373047,62.7000617980957,40.32503128051758,28.121198654174805,32.69913864135742,3.0
30.03611183166504,62.30878448486328,38.02157974243164,27.369461059570312,31.84602928161621,3.0
30.112247467041016,62.550472259521484,39.37676239013672,27.239721298217773,31.714269638061523,3.0
29.155715942382812,62.08627700805664,39.82482147216797,26.487932205200195,32.1453857421875,3.0
29.2428035736084,61.50251007080078,35.31402587890625,26.605134963989258,31.5109806060791,3.0
29.80624008178711,61.89581298828125,36.460357666015625,27.293344497680664,32.135108947753906,3.0
29.70631217956543,62.28772735595703,38.33116149902344,27.0068359375,31.70532989501953,3.0
31.002553939819336,62.649898529052734,40.828895568847656,28.401514053344727,32.95293045043945,3.0
30.29802894592285,62.303802490234375,38.15985107421875,27.670494079589844,32.44002151489258,3.0
29.73487663269043,62.12430191040039,37.431480407714844,27.221851348876953,32.05104064941406,3.0
30.25742530822754,62.42790985107422,40.828224182128906,27.53617286682129,32.59560775756836,3.0
30.6195011138916,62.250980377197266,39.60133361816406,27.823577880859375,32.86467742919922,3.0
28.955595016479492,61.403480529785156,34.172210693359375,26.49725341796875,31.313949584960938,3.0
30.44841766357422,62.315059661865234,39.640533447265625,27.925201416015625,32.67865753173828,3.0
29.239364624023438,61.950496673583984,38.618526458740234,26.478538513183594,31.74428367614746,3.0
30.415843963623047,62.29973220825195,40.09423828125,27.677780151367188,32.946533203125,3.0
28.942340850830078,61.46693420410156,34.07014846801758,26.594554901123047,31.370525360107422,3.0
30.114665985107422,62.07633972167969,39.25692367553711,27.37628173828125,32.40485382080078,3.0
30.483489990234375,61.7588996887207,37.113426208496094,27.824140548706055,32.22831344604492,3.0
30.065956115722656,62.09685516357422,40.06870651245117,27.324073791503906,32.75727081298828,3.0
29.951929092407227,61.83018112182617,36.70215606689453,27.29602813720703,32.15514373779297,3.0
30.934425354003906,62.167076110839844,40.05881118774414,28.227684020996094,32.9544792175293,3.0
29.805862426757812,61.79981231689453,36.75872039794922,27.053546905517578,31.411975860595703,3.0
28.552017211914062,61.52716827392578,33.5870246887207,26.00615692138672,30.536043167114258,3.0
30.34148597717285,62.368812561035156,40.6313591003418,27.455097198486328,32.312503814697266,3.0
29.003381729125977,61.6900749206543,35.4296875,26.464046478271484,31.201868057250977,3.0
29.150428771972656,61.728660583496094,35.5693473815918,26.46978187561035,31.346445083618164,3.0
30.171463012695312,62.36974334716797,37.86156463623047,27.57607078552246,32.28384780883789,3.0
28.794715881347656,61.269317626953125,33.78158950805664,26.389867782592773,31.357654571533203,3.0
29.05967903137207,62.0134162902832,37.809898376464844,26.270280838012695,31.296215057373047,3.0
28.327604293823242,61.50541687011719,33.9745979309082,25.723173141479492,30.730607986450195,3.0
28.317668914794922,61.45706558227539,33.39686584472656,25.790380477905273,30.682348251342773,3.0
27.660770416259766,61.29462814331055,32.969120025634766,25.069244384765625,29.903841018676758,3.0
31.296817779541016,62.609336853027344,41.37754440307617,28.578338623046875,33.34878921508789,3.0
28.66534996032715,61.37286376953125,34.78850555419922,26.12772560119629,31.142370223999023,3.0
29.763708114624023,61.696781158447266,36.70378112792969,27.114864349365234,32.12559127807617,3.0
28.313724517822266,61.353858947753906,32.266021728515625,25.791099548339844,30.345434188842773,3.0
31.105941772460938,62.908756256103516,42.475955963134766,28.32743263244629,33.22389221191406,3.0
29.989757537841797,62.29737091064453,37.082908630371094,27.454605102539062,31.74885368347168,3.0
29.492279052734375,62.25324630737305,37.93711471557617,26.894176483154297,32.00556182861328,3.0
30.555389404296875,61.87980651855469,37.55809783935547,28.006702423095703,32.50904846191406,3.0
29.447040557861328,62.05515670776367,36.84010696411133,26.94148063659668,31.524091720581055,3.0
